scenario,hour,creg1a_tap,creg1b_tap,creg1c_tap,creg2a_tap,creg2b_tap,creg2c_tap,creg1a_pu,creg1b_pu,creg1c_pu,creg2a_pu,creg2b_pu,creg2c_pu
winter,9,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,10,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,11,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,12,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,13,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,14,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,15,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,16,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,17,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,18,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,19,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,20,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,21,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,22,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,23,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
