dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_creg1a_20pct,tap_creg1b_20pct,tap_creg1c_20pct,tap_creg2a_20pct,tap_creg2b_20pct,tap_creg2c_20pct,tap_creg1a_40pct,tap_creg1b_40pct,tap_creg1c_40pct,tap_creg2a_40pct,tap_creg2b_40pct,tap_creg2c_40pct,tap_creg1a_60pct,tap_creg1b_60pct,tap_creg1c_60pct,tap_creg2a_60pct,tap_creg2b_60pct,tap_creg2c_60pct,tap_creg1a_80pct,tap_creg1b_80pct,tap_creg1c_80pct,tap_creg2a_80pct,tap_creg2b_80pct,tap_creg2c_80pct,tap_creg1a_100pct,tap_creg1b_100pct,tap_creg1c_100pct,tap_creg2a_100pct,tap_creg2b_100pct,tap_creg2c_100pct
836,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
836,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
836,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
836,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
840,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
840,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
840,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
840,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
840,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
842,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
842,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
842,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
842,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
842,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
844,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
844,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
844,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
844,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
844,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
846,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
846,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
846,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
846,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
846,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
848,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
848,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
848,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
848,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
848,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
850,Llama-3.1-8B,2753,2753,3854.2,3.8541999999999996,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
850,Llama-3.1-70B,737,2948,4127.2,4.1272,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
850,Llama-3.1-405B,367,2936,4110.4,4.110399999999999,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
850,Qwen3-30B-A3B,1613,3226,4516.4,4.5164,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
850,Qwen3-235B-A22B,395,3160,4424.0,4.424,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
852,Llama-3.1-8B,1322,1322,1850.8,1.8508,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852,Llama-3.1-70B,366,1464,2049.6,2.0496,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852,Qwen3-30B-A3B,780,1560,2184.0,2.184,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852,Qwen3-235B-A22B,194,1552,2172.8,2.1728,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852r,Llama-3.1-8B,1269,1269,1776.6,1.7766,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852r,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852r,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852r,Qwen3-30B-A3B,742,1484,2077.6,2.0776,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
852r,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
854,Llama-3.1-8B,1966,1966,2752.4,2.7524,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
854,Llama-3.1-70B,526,2104,2945.6,2.9455999999999998,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
854,Llama-3.1-405B,263,2104,2945.6,2.9455999999999998,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
854,Qwen3-30B-A3B,1128,2256,3158.4,3.1584,11,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
854,Qwen3-235B-A22B,281,2248,3147.2,3.1471999999999998,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
858,Llama-3.1-8B,1259,1259,1762.6,1.7626,12,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
858,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
858,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
858,Qwen3-30B-A3B,742,1484,2077.6,2.0776,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
858,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
860,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
860,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
860,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
860,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
860,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
862,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
862,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
862,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
862,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
862,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
