scenario,hour,creg1a_tap,creg2a_tap,creg3a_tap,creg3c_tap,creg4a_tap,creg4b_tap,creg4c_tap,creg1a_pu,creg2a_pu,creg3a_pu,creg3c_pu,creg4a_pu,creg4b_pu,creg4c_pu
autumn_cloudy,1,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,2,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,3,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,4,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,5,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,6,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,7,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,8,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,9,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,10,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,11,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,12,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,13,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,14,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,15,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,16,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,17,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,18,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,19,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,20,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,21,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,22,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,23,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,0,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,1,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,2,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,3,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,4,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,5,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,6,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,7,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,8,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,9,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,10,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,11,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,12,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,13,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,14,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,15,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,16,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,17,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,18,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,19,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,20,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,21,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,22,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
winter,23,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
